,text,movie_url,user_name,user_id,tweet_url,tweet_id,base_tweet_id,tweet_type,fav,rt,link,img_url
26,"詳細はこちら
https://t.co/mj25cQqmK8",5B9pAOyNAbpEfTpx.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680911072616919041,1680911072616919041,1680911070184239104,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3D1shn00067%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
29,"盛り上がるサポのアノ娘は。
興奮しすぎてサックいらずの中●しジャパン https://t.co/wjdUIqA39f",LcaCMgcht6PEGFeS.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680926199298801668,1680926199298801668,1680926199298801668,parent,50,15,,
28,"詳細はこちら
https://t.co/fOjM8qzWIM",LcaCMgcht6PEGFeS.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680926201928642560,1680926201928642560,1680926199298801668,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dh_792ghat00008%2F%3Fi3_ref%3Dsearch%26i3_ord%3D27%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
31,性格最悪だけどえっちは最高に上手いクズ元カレのパワー系絶倫ピストンに再び堕ちてしまい... https://t.co/ZF2h8eMx3M,o4gxlaFzNxRndztf.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680941247647842304,1680941247647842304,1680941247647842304,parent,210,48,,
30,"詳細はこちら
https://t.co/2P00XALPGY",o4gxlaFzNxRndztf.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680941249560457217,1680941249560457217,1680941247647842304,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dmvsd00526%2F%3Fi3_ref%3Dsearch%26i3_ord%3D7%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
33,とんでもなく可愛い女の子といやらしい照明の部屋で https://t.co/t0Cu9MTJBY,loPuvkaY4avqL_sB.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680956351105863682,1680956351105863682,1680956351105863682,parent,132,22,,
32,"詳細はこちら
https://t.co/spyW2Kv2wM",loPuvkaY4avqL_sB.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680956353077194753,1680956353077194753,1680956351105863682,child,3,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoc%2F-%2Fdetail%2F%3D%2Fcid%3Doreco184%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
35,宅のみ合コン中...気になる同士で別部屋に抜け出して... https://t.co/SjMmf90E5j,mD6ZQUEG3zRWvXC3.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680971549124497408,1680971549124497408,1680971549124497408,parent,50,10,,
34,nan,mD6ZQUEG3zRWvXC3.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1680971551385198592,1680971551385198592,1680971549124497408,child,1,0,,
37,容赦ない子宮口ガン突きに連続アクメ https://t.co/mRFBYniGqx,K3u-0UXvioADOQb8.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681046933853577216,1681046933853577216,1681046933853577216,parent,76,17,,
36,"詳細はこちら
https://t.co/1XAve13jzc",K3u-0UXvioADOQb8.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681046936089149441,1681046936089149441,1681046933853577216,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dwaaa00173%2F%3Fdmmref%3Dseries_220245%26i3_ref%3Dlist%26i3_ord%3D5%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
40,僕の家がギャル達の溜まり場に... https://t.co/WlyBI6oREe,14-wQ22OHBXqsRa0.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681122459557449729,1681122459557449729,1681122459557449729,parent,25,9,,
39,"詳細はこちら
https://t.co/UJqIyibXNc",14-wQ22OHBXqsRa0.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681122462476668930,1681122462476668930,1681122459557449729,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Debod00917%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
42,"テレビの修理に行ったら。
奥さんが全裸で出てきた https://t.co/1zVUhjvnUJ",eAMMNtZcd7nzSnV9.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681182847456137216,1681182847456137216,1681182847456137216,parent,66,11,,
41,"詳細はこちら
https://t.co/nW8f2Ogphz",eAMMNtZcd7nzSnV9.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681182849809141760,1681182849809141760,1681182847456137216,child,2,1,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3D84umso00360%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
44,チェックインからチェックアウトまで中●しセ●クスに明け暮れた最後のお泊りW不倫 https://t.co/HurM2NcmDE,3g2jYKeyiqv9ulp7.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681228129690583042,1681228129690583042,1681228129690583042,parent,84,17,,
43,"詳細はこちら
https://t.co/MUpXiIy52C",3g2jYKeyiqv9ulp7.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681228131729051648,1681228131729051648,1681228129690583042,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dh_113ss00148%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
46,早漏改善クリニックで絶倫化したチ●ポをそのまま... https://t.co/24XCK16Oj3,3V1Dz9RxGNldwrsz.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681258367111794688,1681258367111794688,1681258367111794688,parent,42,7,,
45,"詳細はこちら
https://t.co/gn46Ya3ack",3V1Dz9RxGNldwrsz.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681258370093944832,1681258370093944832,1681258367111794688,child,2,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3D1stars00730%2F%3Fdmmref%3Dvideoa_top_pickup_sp%26i3_ref%3Drecommend%26i3_ord%3D2%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
48,うっとりするような美しいポーズで天使のような顔 https://t.co/yCGVTnN9pq,YPvNlXxZ4BngRDwX.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681273490610216960,1681273490610216960,1681273490610216960,parent,73,18,,
47,"詳細はこちら
https://t.co/p9yxXmMTPi",YPvNlXxZ4BngRDwX.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681273493592358912,1681273493592358912,1681273490610216960,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dssni00979%2F%3Fdmmref%3Ddigiprice1-head%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
50,イッてもイッても止まない追撃ピストンにエビ反り大痙●アクメ https://t.co/x0r4NBKPxq,8AOFn_g58Z7Gec9D.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681288540947386368,1681288540947386368,1681288540947386368,parent,81,22,,
49,"詳細はこちら
https://t.co/j3j5wNLn68",8AOFn_g58Z7Gec9D.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681288543170367488,1681288543170367488,1681288540947386368,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoc%2F-%2Fdetail%2F%3D%2Fcid%3Dshinki118%2F%3Fi3_ref%3Dsearch%26i3_ord%3D1%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
52,誰もが羨む生活を送っているように見える美人妻と... https://t.co/z2lT2Yvbw4,Fxy8O9p2szuiRj3d.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681303619017252864,1681303619017252864,1681303619017252864,parent,40,10,,
51,"詳細はこちら
https://t.co/26csrTd9hO",Fxy8O9p2szuiRj3d.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681303622276231168,1681303622276231168,1681303619017252864,child,1,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dofje00371%2F%3Fdmmref%3Drecommend13_floor_videoa_video%26i3_ref%3Drecommend%26i3_ord%3D4%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
54,汗臭いユニフォームと蒸れ蒸れスパッツで中●しS●X孕ませ... https://t.co/9vXe8gAXvg,EmYQ8LqTByYBv31g.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681318747724972033,1681318747724972033,1681318747724972033,parent,66,14,,
53,"詳細はこちら
https://t.co/RD9O7KJUYh",EmYQ8LqTByYBv31g.m3u8,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681318752057720839,1681318752057720839,1681318747724972033,child,4,0,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Dmyba00031%2F%3Fdmmref%3Dseries_220170%26i3_ref%3Dlist%26i3_ord%3D14%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
56,"我慢していた性欲を一気に開放し互いの肉体。
性器を貪欲に求め絶頂を深く味わう https://t.co/Hv1LFdBCVT",FEVbQIQxIalnZbSB.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681333829687181313,1681333829687181313,1681333829687181313,parent,54,10,,
55,"詳細はこちら
https://t.co/HwbFnuR3wh",FEVbQIQxIalnZbSB.mp4,black_rose591,てつろう,https://twitter.com/black_rose591/status/1681333831624949760,1681333831624949760,1681333829687181313,child,2,1,https://al.dmm.co.jp/?lurl=https%3A%2F%2Fwww.dmm.co.jp%2Fdigital%2Fvideoa%2F-%2Fdetail%2F%3D%2Fcid%3Drmos00002%2F%3Fi3_ref%3Dsearch%26i3_ord%3D22%2F&af_id=eromovie2021-027&ch=link_tool&ch_id=link,
